source_id,status,reason,url,title,author,institution,date,format,original_work,edition,chapter,collection,license_conditions,content_sha256,landing_sha256,role,family_id,relationship_existing,topic_provisional,evidence_path,commit,processing_version
V01,accepted_unlabeled,"Public captions, no explicit redistribution license; private local use pending rights review. Historiographic framing may be no_relevante or mixed.",https://iep.org.pe/noticias/las-tres-interpretaciones-la-independencia-del-peru-entrevista-carlos-contreras/,Las tres interpretaciones sobre la independencia del Peru,Carlos Contreras,iep.org.pe,UNKNOWN,video_transcript,Las tres interpretaciones sobre la independencia del Peru,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,9ef1ec575ca29ca5d687f4cc659020c46b512de500cd1c61e56966cae1266081,a266dd7a02959c9632ec0a649ef88f23ba32529cbc79293484c203ff3f48db5e,annotation_pool,family-V01,"Public captions, no explicit redistribution license; private local use pending rights review. Historiographic framing may be no_relevante or mixed.",interpretaciones e ideas,outputs\beto-v2\corpus\V01\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
V02,accepted_unlabeled,"Public captions, no explicit redistribution license; ASR and mixed historiographic dates require review; do not silently correct 1920 to 1820.",https://iep.org.pe/noticias/video-rolando-rojas-participa-de-i-congreso-internacional-virtual-a-puertas-del-bicentenario-200-anos-de-que/,La independencia tardia: la caida del ultimo bastion espanol,Rolando Rojas,iep.org.pe,UNKNOWN,video_transcript,La independencia tardia: la caida del ultimo bastion espanol,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,5b42841c920aa752a682b203520ccdf2a8b8dc4b05302aa6e62489345b1588c2,99f65b4aed35813b9bd9394f02a77b4b175a9f84aef3ca2243259eca7dd0ecdd,annotation_pool,family-V02,"Public captions, no explicit redistribution license; ASR and mixed historiographic dates require review; do not silently correct 1920 to 1820.",guerra e independencia tardía,outputs\beto-v2\corpus\V02\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
V03,blocked,Multiple video links require manual selection; no blind collection,https://www.gob.pe/institucion/bnp/campa%C3%B1as/63781-la-noticia-hoy-hace-200-anos,UNKNOWN,UNKNOWN,www.gob.pe,UNKNOWN,video_transcript,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,7327d5e7ba9d7757d63dcdb89ecdb145ac3b9c8f4174c71624900ca8b66047e8,reserved_candidate,family-V03,No identity established; shared citations are not proof of independence or duplication.,prensa y acontecimientos de 1824,outputs\beto-v2\corpus\V03\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
V04,blocked,No direct institutional video URL exposed; event page is not transcript,https://www.bnp.gob.pe/bnp-inicia-ciclo-de-conversatorios-sobre-el-bicentenario-de-la-consolidacion-de-la-independencia-del-peru/,UNKNOWN,UNKNOWN,www.bnp.gob.pe,UNKNOWN,video_transcript,UNKNOWN,UNKNOWN/UNKNOWN,whole article/video; UNKNOWN for unacquired resource,UNKNOWN,UNKNOWN; no redistribution authorized,,750f1ecabd28110f19ba44552a2aab9bad55978cc9d531707f97f2f43d105b8b,reserved_candidate,family-V04,No identity established; shared citations are not proof of independence or duplication.,independencia; ciclo institucional 2024,outputs\beto-v2\corpus\V04\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S01,accepted_unlabeled,Content opened and extracted; annotation pending,https://revistas.pucp.edu.pe/index.php/historica/article/view/28724,"El ceremonial republicano y los rituales políticos de la Confederación Perú-Boliviana, 1821-1839",Michael Forsyth,revistas.pucp.edu.pe,2023,pdf,"El ceremonial republicano y los rituales políticos de la Confederación Perú-Boliviana, 1821-1839",47/2,whole article/video; UNKNOWN for unacquired resource,Histórica,https://creativecommons.org/licenses/by/4.0/,cddb3214a056f0c6d59d1cc43b8d486aa48e4aaf15f3e0103063538ae5b1be43,694639208442830c540031fabefe942d773af336670b5883e2fc00b2ec335d96,annotation_pool,family-S01,No identity established; shared citations are not proof of independence or duplication.,ceremonial republicano y Confederación 1821-1839,outputs\beto-v2\corpus\S01\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S02,reused_existing,Reused: identical SHA256 in artifacts/reviews/corpus-batch-v2.json; underlying Flora Tristan work and translation rights require separate review.,https://revistas.pucp.edu.pe/index.php/conexion/article/view/26124,"Mujeres peruanas en los primeros años de la República, según Flora Tristán en su libro Peregrinaciones de una paria",Maria Jose Arguedas Pinasco,revistas.pucp.edu.pe,2022/07/28,pdf,"Mujeres peruanas en los primeros años de la República, según Flora Tristán en su libro Peregrinaciones de una paria",UNKNOWN/17,whole article/video; UNKNOWN for unacquired resource,Conexión,https://creativecommons.org/licenses/by/4.0/,3a649e06d4892d5c1be0435f59ae8f186d3e5fe2be1252ab367a821ddd85652c,1517acf48719164f26d01a4f336df7d607f6918eb00911f8f43f631f6aa5c855,annotation_pool,family-S02,Reused: identical SHA256 in artifacts/reviews/corpus-batch-v2.json; underlying Flora Tristan work and translation rights require separate review.,mujeres y primera república; Flora Tristán,outputs\beto-v2\corpus\S02\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S03,accepted_unlabeled,Content opened and extracted; annotation pending,https://revista.agn.gob.pe/ojs/index.php/ragn/article/view/139,El Departamento Marítimo del Callao y la independencia de Guayaquil,Jorge Ortiz Sotelo,revista.agn.gob.pe,2022/08/19,pdf,El Departamento Marítimo del Callao y la independencia de Guayaquil,37/1,whole article/video; UNKNOWN for unacquired resource,Revista del Archivo General de la Nación,https://creativecommons.org/licenses/by/4.0/,9ec770dea8aab54de9718d133fb66c4ce8ec7b8d34b39ffe8c30762dfa358e98,7bc7e231e6f5a94fff7746c3db6e10bfe6191cf8149063214a7eb74669f4136e,annotation_pool,family-S03,No identity established; shared citations are not proof of independence or duplication.,Callao y Guayaquil; guerra naval,outputs\beto-v2\corpus\S03\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S04,accepted_reserved_provisional,Reserved whole work; Hugo Pereyra Plasencia is distinct from Nelson Ernesto Pereyra Chavez. Broad chronology requires scope review.,https://revista.agn.gob.pe/ojs/index.php/ragn/article/view/168,Líneas de investigación para el estudio de las relaciones entre los virreinatos del Perú y de la Nueva España hasta la independencia,Hugo Pereyra Plasencia,revista.agn.gob.pe,2024,pdf,Líneas de investigación para el estudio de las relaciones entre los virreinatos del Perú y de la Nueva España hasta la independencia,39/1,whole article/video; UNKNOWN for unacquired resource,Revista del Archivo General de la Nación,https://creativecommons.org/licenses/by/4.0/,b9d5efb0b0525665dd50f7e1b7b86a3a89cfa8f1bc37e6fbd5355f64cc669432,de43b53ea9363c81ba375e0471b323d8e7995283d2834a15e4f64416bdb81efa,reserved_candidate,family-S04,Reserved whole work; Hugo Pereyra Plasencia is distinct from Nelson Ernesto Pereyra Chavez. Broad chronology requires scope review.,Perú y Nueva España; independencia comparada,outputs\beto-v2\corpus\S04\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S05,accepted_unlabeled,"OCR defective; collate with page image before annotation. Reprinted in Independencia y revolucion 1780-1840 (1987): group reprints of this essay, not every essay in that collection.",https://revistas.pucp.edu.pe/index.php/debatesensociologia/article/view/6870,Independencia y clases sociales,Alberto Flores Galindo,revistas.pucp.edu.pe,1982/12/01,pdf,Independencia y clases sociales,UNKNOWN/7,whole article/video; UNKNOWN for unacquired resource,Debates en Sociología,https://creativecommons.org/licenses/by/4.0/,37daf3789e40a28c9022d3259648393abcf3760870c313ba93dc548e6838a918,97752ae25af0aa8cd207180e23404aa9ce1671fa99aeba759ff71603a2ae5743,annotation_pool,family-S05,"OCR defective; collate with page image before annotation. Reprinted in Independencia y revolucion 1780-1840 (1987): group reprints of this essay, not every essay in that collection.",clases sociales e independencia,outputs\beto-v2\corpus\S05\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
S06,accepted_unlabeled,"PDF date discrepancy 2024/2023; institutional citation date 2023-11-30 retained. Shares Callao events with S03, not established text duplication.",https://revista.agn.gob.pe/ojs/index.php/ragn/article/view/156,Un acontecimiento olvidado de la Independencia: la masacre de extranjeros pro patriotas en el Callao (1820),Renán Daniel Campero Paredes,revista.agn.gob.pe,2023/11/30,pdf,Un acontecimiento olvidado de la Independencia: la masacre de extranjeros pro patriotas en el Callao (1820),38/1,whole article/video; UNKNOWN for unacquired resource,Revista del Archivo General de la Nación,https://creativecommons.org/licenses/by/4.0/,d41a8030a7404762cc379eb1ae7d1928fafd5c76678f4055d4b1f97f654ee976,0e9bda43ad359e36fcedd04e08ba9988839dab3454bcb8fb357fc8351f80736c,annotation_pool,family-S06,"PDF date discrepancy 2024/2023; institutional citation date 2023-11-30 retained. Shares Callao events with S03, not established text duplication.",participación popular realista Callao 1820,outputs\beto-v2\corpus\S06\acquisition.json,74f80917f6b245d718c201d58e0d3599f2e4b3e0,beto-corpus-v2.2
